TTS2022,Latitude,Longitude
1001,43.66503315,-79.31193886
1002,43.65821853,-79.3144496
1003,43.66143312,-79.32421352
1004,43.6574552,-79.33599633
1005,43.65441128,-79.34572161
1006,43.65137879,-79.33649322
1007,43.63152339,-79.33117131
1008,43.64441122,-79.33713813
1009,43.63659182,-79.34865888
1010,43.64621042,-79.348783
1011,43.64259946,-79.35402838
1012,43.65079261,-79.35179796
1013,43.6478258,-79.35799252
1014,43.65307666,-79.35479886
1015,43.65095483,-79.35966899
1016,43.65510502,-79.3588288
1017,43.65869514,-79.36004222
1018,43.66192066,-79.3611147
1019,43.66523879,-79.36222272
1020,43.66915617,-79.36542282
1021,43.66962506,-79.37519322
1022,43.66529835,-79.37305502
1023,43.66087895,-79.37135309
1024,43.65658051,-79.36947177
1025,43.65261881,-79.36797988
1026,43.64899337,-79.36637735
1027,43.64688805,-79.36376149
1028,43.64566951,-79.36785404
1029,43.64443702,-79.36436545
1030,43.64158259,-79.37127004
1031,43.64472974,-79.37080474
1032,43.64413483,-79.37285934
1033,43.64367963,-79.37455374
1034,43.64699607,-79.37342139
1035,43.64891809,-79.37488228
1036,43.65146633,-79.37553461
1037,43.65480236,-79.37700043
1038,43.6591928,-79.3786743
1039,43.66409147,-79.37879565
1040,43.66344353,-79.38192688
1041,43.6686725,-79.38070679
1042,43.66799505,-79.3838185
1043,43.67257472,-79.38388183
1044,43.67681503,-79.39269239
1045,43.67186148,-79.39204701
1046,43.66733931,-79.3869743
1047,43.66629033,-79.39089291
1048,43.66287679,-79.38510498
1049,43.66209168,-79.38928161
1050,43.65854792,-79.38335129
1051,43.65780095,-79.38711621
1052,43.65405773,-79.3815095
1053,43.65328522,-79.38530828
1054,43.65055249,-79.37972094
1055,43.64964964,-79.38380495
1056,43.64762417,-79.37850826
1057,43.64669993,-79.38255753
1058,43.64518218,-79.37921611
1059,43.643515,-79.37909734
1060,43.64198091,-79.37773238
1061,43.63975291,-79.37655709
1062,43.63818415,-79.38569451
1063,43.64254932,-79.38476926
1064,43.64127507,-79.39042695
1065,43.64568247,-79.38735874
1066,43.6446843,-79.39189323
1067,43.64806738,-79.39121972
1068,43.65226953,-79.39032155
1069,43.65128697,-79.39509654
1070,43.65679832,-79.3921742
1071,43.65582124,-79.39694595
1072,43.66134516,-79.39678487
1073,43.66593814,-79.39830689
1074,43.67208327,-79.40068305
1075,43.6702803,-79.40922229
1076,43.66409092,-79.40663842
1077,43.65974512,-79.40494388
1078,43.65474399,-79.40277124
