Mon Nov 25 2024 08:18:39 GMT-0500 (Eastern Standard Time) - Run Time: 2387ms

Cross Tabulation Query Form - Trip - 2016

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest


Filters:
(2006 GTA zone of origin - gta06_orig In 5241
or
2006 GTA zone of destination - gta06_dest In 5241)
and
Start time of trip - start_time In 1530-1830

undefined
ROW : gta06_orig
COLUMN : gta06_dest
  gta06_orig  gta06_dest      total
        1082        5241         47
        3631        5241         29
        3632        5241         30
        4022        5241         69
        4024        5241         88
        4042        5241         41
        4054        5241         55
        4057        5241         52
        4058        5241         87
        4060        5241         32
        4073        5241         10
        4077        5241         18
        4078        5241         84
        4081        5241         42
        4082        5241         97
        4091        5241         36
        5023        5241         45
        5039        5241         10
        5051        5241         70
        5080        5241         37
        5087        5241        159
        5093        5241         84
        5111        5241        244
        5115        5241         36
        5119        5241         45
        5123        5241         88
        5126        5241        247
        5127        5241         55
        5128        5241        154
        5131        5241        124
        5135        5241         91
        5141        5241         15
        5142        5241        125
        5145        5241         96
        5151        5241         57
        5159        5241         45
        5170        5241         18
        5172        5241         30
        5185        5241         29
        5188        5241          7
        5190        5241         98
        5193        5241         93
        5194        5241         54
        5197        5241         33
        5198        5241         99
        5199        5241         84
        5206        5241         47
        5241          97         34
        5241        4057         78
        5241        5032         19
        5241        5068         56
        5241        5087         40
        5241        5096         82
        5241        5101         86
        5241        5111         47
        5241        5126         84
        5241        5131         42
        5241        5141         15
        5241        5145         23
        5241        5159         25
        5241        5172         30
        5241        5176         41
        5241        5193         23
        5241        5198         41
        5241        5199         42
        5241        5202         19
        5241        5241         64
        5241        5245        113
        5241        6360         25
        5245        5241        113
        6004        5241         37
        6157        5241          7
        6355        5241         12
        8909        5241         40
        8960        5241         33
