GTA06,Latitude,Longitude
1,43.66501295,-79.31193859
2,43.65815405,-79.31670145
3,43.66146473,-79.32418322
4,43.6581359,-79.33393316
5,43.65486031,-79.34421801
6,43.65227653,-79.33648812
7,43.63252006,-79.32953391
8,43.64619318,-79.33431078
9,43.63869979,-79.34602534
10,43.64621764,-79.34883991
11,43.64302319,-79.3537813
12,43.65056857,-79.35194401
13,43.64787343,-79.35810303
14,43.65319483,-79.35448807
15,43.65095586,-79.35973182
16,43.65509957,-79.35886194
17,43.65868157,-79.36005748
18,43.66189995,-79.36113944
19,43.66521799,-79.36225492
20,43.67038972,-79.36505119
21,43.66961683,-79.3752347
22,43.66527195,-79.37308981
23,43.66085188,-79.37138922
24,43.65654468,-79.36952235
25,43.65259267,-79.36801713
26,43.6489757,-79.36641318
27,43.6468806,-79.36376972
28,43.64565824,-79.36784815
29,43.64475665,-79.36426673
30,43.64208596,-79.37143108
31,43.64474078,-79.37082398
32,43.64413477,-79.37286161
33,43.64367514,-79.37459985
34,43.64699436,-79.37345539
35,43.64886986,-79.37494408
36,43.65142972,-79.37559414
37,43.65478406,-79.37704099
38,43.65916938,-79.37872017
39,43.6640642,-79.37883103
40,43.66342993,-79.38195495
41,43.66865758,-79.38075259
42,43.66797054,-79.38386012
43,43.67255504,-79.38395804
44,43.67680126,-79.39271812
45,43.67185221,-79.39206843
46,43.66731558,-79.38701307
47,43.66627023,-79.39092064
48,43.66285561,-79.38514341
49,43.66208482,-79.3892858
50,43.65852895,-79.38338899
51,43.65780471,-79.38709333
52,43.65405413,-79.38152187
53,43.65329551,-79.38521593
54,43.6505374,-79.37977807
55,43.64964951,-79.38386534
56,43.6475979,-79.37857051
57,43.64668716,-79.38261599
58,43.64516949,-79.37925533
59,43.64343981,-79.37903614
60,43.64189746,-79.37774662
61,43.64015365,-79.37708916
62,43.63890465,-79.38527966
63,43.6425817,-79.38467375
64,43.64133117,-79.39027029
65,43.64509968,-79.39004839
66,43.64806883,-79.39124471
67,43.65186175,-79.39237103
68,43.65638596,-79.39420862
69,43.66134071,-79.39679866
70,43.66595449,-79.39832707
71,43.67210392,-79.40072858
72,43.6702791,-79.40926457
73,43.66408362,-79.40667309
74,43.65975832,-79.404991
75,43.65476556,-79.40280322
76,43.65010645,-79.40113634
77,43.64632747,-79.39953058
78,43.64318867,-79.39835866
79,43.63998956,-79.39672266
80,43.6367678,-79.39609851
81,43.62300828,-79.38156195
82,43.63386912,-79.40014934
83,43.63463423,-79.40593439
84,43.63768016,-79.40426514
85,43.63557436,-79.41381559
86,43.63106334,-79.41392708
87,43.63068893,-79.42239661
88,43.63364684,-79.42367301
89,43.63846431,-79.41948859
90,43.6429205,-79.41089429
91,43.64899381,-79.40873577
92,43.65357919,-79.41078832
93,43.65995324,-79.41333575
94,43.66873786,-79.41653972
95,43.66725144,-79.42386134
96,43.65885835,-79.42071059
97,43.65220919,-79.42011713
98,43.64718964,-79.41808834
99,43.64536051,-79.42635506
100,43.65120023,-79.43016921
101,43.65640797,-79.43278453
102,43.65779773,-79.42604454
103,43.66607947,-79.42932278
104,43.66510379,-79.43422848
105,43.66344792,-79.44220248
106,43.66282093,-79.45149283
107,43.65441138,-79.44198273
108,43.64750274,-79.43499378
109,43.64430722,-79.43825285
110,43.6374455,-79.43423694
111,43.63175231,-79.43096008
112,43.63585848,-79.44414793
113,43.64238902,-79.44847201
114,43.65092521,-79.44812139
115,43.65056697,-79.45451077
116,43.65888084,-79.45705786
117,43.66464194,-79.46111211
118,43.6640989,-79.46788522
