Mon Nov 25 2024 08:18:20 GMT-0500 (Eastern Standard Time) - Run Time: 2583ms

Cross Tabulation Query Form - Trip - 2016

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest


Filters:
(2006 GTA zone of origin - gta06_orig In 5241
or
2006 GTA zone of destination - gta06_dest In 5241)
and
Start time of trip - start_time In 600-900

undefined
ROW : gta06_orig
COLUMN : gta06_dest
  gta06_orig  gta06_dest      total
        4056        5241         39
        4078        5241         14
        4090        5241         74
        5096        5241         82
        5126        5241         19
        5135        5241         31
        5159        5241         25
        5183        5241         55
        5202        5241         19
        5241        3631         29
        5241        3632         30
        5241        4024         88
        5241        4042         81
        5241        4054         55
        5241        4058         87
        5241        4060         32
        5241        4063         33
        5241        4073         10
        5241        4078        112
        5241        4082         41
        5241        4091         36
        5241        5023         45
        5241        5032         40
        5241        5039         10
        5241        5051         70
        5241        5092         11
        5241        5093         29
        5241        5111        553
        5241        5123         88
        5241        5128        154
        5241        5131         82
        5241        5135         99
        5241        5139         47
        5241        5141         33
        5241        5142         92
        5241        5145         68
        5241        5151         57
        5241        5155         59
        5241        5159         45
        5241        5170         18
        5241        5172         30
        5241        5173         18
        5241        5184         55
        5241        5185         29
        5241        5188          7
        5241        5190         98
        5241        5193         93
        5241        5194        111
        5241        5196         36
        5241        5197         69
        5241        5198         61
        5241        5199        172
        5241        5206         47
        5241        5239        175
        5241        5241        268
        5241        5244         59
        5241        8909         40
        5241        8948         37
        5241        8960         33
        5241        9998         70
        6360        5241         25
